sheet_index,Supermarket,competition_group,high_comp,proximity_tertile,pct_price_change,twfe_effect,twfe_se,n_obs,n_items,drop_far_right_outlier,lat,lng,proximity_score,nearest_km
13,K Mart Supermarket,Low/Mid Competition,0,Low,-2.111751022641051,-.0213436745306895,.0647787245345197,86,18,0,-9.48054,147.1688,9.669519877578081,.8316625007003331
14,Pingan Trading,High Competition,1,High,-4.395675211000549,-.044952128575305,.0196726401380352,75,17,0,-9.470996626,147.1896059,17.35312312500284,.0290990631200687
15,TANGO (Boroko),High Competition,1,High,-10.07143874793133,-.1061545947210732,.0408731946078876,83,17,0,-9.465673448,147.1954515,18.85049856770683,.0790549555182993
17,Bro & Sis Supermarket,Low/Mid Competition,0,Medium,-.874262721173058,-.0087810681911114,.033910743342381,74,17,0,-9.424770000000001,147.1786,15.19301027802813,.0917264781129904
18,WAIGANI WHOLESALE & RETAIL,Low/Mid Competition,0,Medium,-7.264340137312697,-.0754171070988855,.0300353868816754,71,16,0,-9.42431,147.1798,15.23434935732711,.0961493230325234
19,Bhuiya Waigani,Low/Mid Competition,0,Medium,-1.056613533542916,-.0106223532984611,.08448038637749,74,16,0,-9.423590463,147.1802861,14.99046365855672,.0961493230325234
20,Eliseo Rainbow,Low/Mid Competition,0,Low,-10.61854258910315,-.112256936832586,.0744462209613419,94,20,0,-9.399054551000001,147.1608881,8.165540440347538,.1089386903159474
21,Papindo gerehu,Low/Mid Competition,0,Low,-10.77928265658207,-.1140569161564532,.0389317442191834,92,19,0,-9.39074634,147.1616055,6.717689559239432,.6240095121818661
23,Navana Limited,Low/Mid Competition,0,Low,-5.47672149492171,-.0563240484364096,.0222919930033586,76,16,0,-9.492844988,147.2221825,7.334962321930787,1.427526534398769
24,Desh Besh Gordon’s,High Competition,1,High,-12.64435812673391,-.1351825622177376,.0791919162359018,75,16,0,-9.442724762999999,147.1943867,21.81833571580483,.0381602756843813
25,Eliseo Boroko,High Competition,1,High,-9.6534527773946,-.1015173852572277,.0487015581913312,98,20,0,-9.462071513,147.1960579,18.97050650419009,.4060018236498573
26,Stop and Shop Waigani Central,High Competition,1,High,-4.200481311582294,-.042912525153149,.0257051752606751,100,20,0,-9.45384,147.1867,18.93788810880473,.921575825355242
27,Stop & Shop Boroko,High Competition,1,High,-10.14610563522864,-.1069852307398572,.0276629135735662,89,19,0,-9.466670000000001,147.1951,18.71088829064371,.1004631083207393
28,SVS 4 mile,Low/Mid Competition,0,Medium,-13.67942908781626,-.1471022511561945,.02685166200425,91,19,0,-9.471910919000001,147.1865371,16.35768742878205,.3359433089738372
29,Keme trading # 3,Low/Mid Competition,0,Low,-7.203392818840726,-.0747601074121422,.0212518089182665,78,16,0,-9.405570000000001,147.2279,4.554355778167874,1.036882342936238
30,M&S Enterprise Ltd.,Low/Mid Competition,0,Low,-2.191874976592423,-.0221625344491487,.0368391781923876,73,16,0,-9.410270000000001,147.2403,4.073639717835801,.3497778614923095
31,Desh Besh Kons,Low/Mid Competition,0,Low,-12.00445923172021,-.1278840458815388,.0544142311398696,91,20,0,-9.467302767,147.1592634,9.171291554269731,.6991993003925071
32,Thomand Plaza,Low/Mid Competition,0,Medium,-11.17867616063707,-.1185434314912002,.0156536076627264,95,19,0,-9.426051978,147.1832748,15.58973177413978,.4270791733098562
33,Mountain Friend,Low/Mid Competition,0,Medium,-12.20829782417613,-.1302031980612259,.0561648739184679,83,17,0,-9.43019763,147.1677821,12.7706405635189,.0711932035521058
34,Bulk Traders,High Competition,1,High,-7.4616590768392,-.0775471308830386,.0552970842121363,84,17,0,-9.44348931,147.1834741,19.22148938013992,.0656349993779092
35,Rainbow Cash and Carry (Chinese),Low/Mid Competition,0,Low,-13.36429519796712,-.1434581597547094,.0334773633468311,85,17,0,-9.399413974,147.1599643,8.098802770798319,.1089386903159474
36,Byron's shop,Low/Mid Competition,0,Medium,-1.496290836542991,-.0150759820372386,.0526064924222496,85,17,0,-9.483227987999999,147.2135599,12.25746735687848,.1143321169796986
37,Jmart supermarket Erima,Low/Mid Competition,0,Medium,-3.545043523020508,-.0360940588745134,.0668183426898047,98,20,0,-9.437396076000001,147.2037786,16.97780673954867,.0466264599567599
38,SNS 8 mile,Low/Mid Competition,0,Low,-5.850527933316208,-.0602865382646046,.03208253775103,98,20,0,-9.425472255000001,147.2159157,9.000687569901013,1.878934641237086
39,9 Mile Plaza,Low/Mid Competition,0,Low,-8.297609617167566,-.0866217396408586,.026406217935462,91,19,0,-9.413667272,147.2325878,5.189444041691099,.6468006870558678
40,Elisio Makana Plaza,Low/Mid Competition,0,Low,-9.683900836647508,-.1018544561476445,.0353458588135894,100,20,0,-9.41281047,147.2384197,4.53534310422859,.3497778614923095
41,Eliseo Mosin Plaza,Low/Mid Competition,0,Low,-9.393664350477049,-.0986460454777053,.050908261382768,100,20,0,-9.388072117,147.1566048,5.858835713116759,.6240095121818661
42,Wan Mart,High Competition,1,High,-9.634731386730344,-.1013101891683096,.0264936560034461,81,17,0,-9.466229999999999,147.1959,18.76061617532748,.0790549555182993
43,Amart,High Competition,1,High,-10.1963524167906,-.1075445925381682,.0458917166552154,77,17,0,-9.470833303999999,147.1893986,17.35314720524488,.0290990631200687
44,Rephen supermarket,Low/Mid Competition,0,Medium,.4484135957302682,.0044741121738288,.0513924577722334,80,16,0,-9.45489431,147.1758278,15.59531177350477,.1469848925968816
45,Honyu,Low/Mid Competition,0,Medium,-9.207746993245824,-.0965962233296178,.027465876640715,70,16,0,-9.474804808,147.1741623,12.40558200137366,.6449370343426553
46,Wada wada supermarket,Low/Mid Competition,0,Medium,-6.194277271958604,-.0639443219431088,.0323013750274916,84,17,0,-9.482914418,147.2125671,12.69118809864201,.0797345678395911
47,Manu cash and carry,Low/Mid Competition,0,Medium,-9.478809093273732,-.0995862090264182,.0248594287378029,88,18,0,-9.478837208,147.203935,15.49119375241786,.0592884478447125
48,Alhamdulillah investment manu,Low/Mid Competition,0,Medium,-9.195490400373373,-.0964612364199929,.0336376457651764,62,15,0,-9.478679223,147.2034187,15.64116846828897,.0592884478447125
49,IRFA Holdings Supermarket & Wholesale,Low/Mid Competition,0,Medium,-4.289416200107254,-.0438413001238949,.0215285409170292,62,16,0,-9.481769018,147.2123444,12.99496733685977,.0621487373364602
50,Shorna Vadavada Taurama,Low/Mid Competition,0,Medium,-14.28971558651374,-.1541973627595498,.032678540139966,80,17,0,-9.482305047000001,147.2121839,12.95018136167168,.0621487373364602
51,En Dian Enterprise Taurama,Low/Mid Competition,0,Low,-3.682437065057553,-.0375195065028409,.0402578857963454,69,17,0,-9.520653680000001,147.2412323,3.908996985575517,.2077817282384428
52,ASDA Enterprises,Low/Mid Competition,0,Low,-7.043710211073817,-.0730408055901334,.0296120066849189,79,16,0,-9.518903263,147.2405691,4.215260975262431,.2077817282384428
53,Super City Taurama,Low/Mid Competition,0,Low,-4.254386214616734,-.0434753680065414,.0328490437475603,85,17,0,-9.514730254,147.2404608,4.596520129093518,.4641693983402782
54,Across Jannet2 Taurama,Low/Mid Competition,0,Low,-6.28128487141848,-.0648722821247038,.0593855483810933,72,16,0,-9.509774398999999,147.2419893,4.657619307754828,.0961472381097495
55,Jannat2 Taurama,Low/Mid Competition,0,Low,-11.87919391044596,-.1264615164612668,.0347783083263909,71,17,0,-9.509797807,147.2411129,4.732569603304367,.0961472381097495
56,Rahana Wholesale,Low/Mid Competition,0,Low,1.2401167404956,.0123249027946032,.0227541027792471,69,15,0,-9.408144742999999,147.1863551,10.00261230396124,.0298513686921979
57,Ekra Enterprise #3 Morata,Low/Mid Competition,0,Low,-.3279981656644226,-.0032853725878094,.0498097636071034,57,13,0,-9.408285046,147.1861231,10.06957588405784,.0298513686921979
